ASX Code,Company Name,Date,Open,High,Low,Close,Volume,Market Capitalisation($m),Shares on Issue
DNL,Dyno Nobel Limited,08/05/2026,3.29,3.325,3.265,3.32,"3,895,863.00","5,828.58","1,755,597,890.00"
DNL,Dyno Nobel Limited,07/05/2026,3.21,3.33,3.21,3.33,"4,601,406.00","5,846.14","1,755,597,890.00"
DNL,Dyno Nobel Limited,06/05/2026,3.27,3.28,3.225,3.23,"2,921,527.00","5,670.58","1,755,597,890.00"
DNL,Dyno Nobel Limited,05/05/2026,3.28,3.30,3.24,3.24,"5,809,026.00","5,688.14","1,755,597,890.00"
DNL,Dyno Nobel Limited,04/05/2026,3.34,3.37,3.295,3.32,"2,934,779.00","5,828.58","1,755,597,890.00"
DNL,Dyno Nobel Limited,01/05/2026,3.30,3.35,3.30,3.34,"1,602,240.00","5,863.70","1,755,597,890.00"
DNL,Dyno Nobel Limited,30/04/2026,3.21,3.29,3.20,3.27,"2,899,611.00","5,740.81","1,755,597,890.00"
DNL,Dyno Nobel Limited,29/04/2026,3.16,3.24,3.16,3.23,"2,420,641.00","5,670.58","1,755,597,890.00"
DNL,Dyno Nobel Limited,28/04/2026,3.21,3.22,3.17,3.19,"2,205,217.00","5,600.36","1,755,597,890.00"
DNL,Dyno Nobel Limited,27/04/2026,3.19,3.25,3.19,3.23,"2,388,469.00","5,670.58","1,755,597,890.00"
DNL,Dyno Nobel Limited,24/04/2026,3.25,3.25,3.18,3.24,"3,156,593.00","5,688.14","1,755,597,890.00"
DNL,Dyno Nobel Limited,23/04/2026,3.25,3.26,3.165,3.20,"2,476,085.00","5,617.91","1,755,597,890.00"
DNL,Dyno Nobel Limited,22/04/2026,3.20,3.30,3.19,3.27,"3,322,005.00","5,740.81","1,755,597,890.00"
DNL,Dyno Nobel Limited,21/04/2026,3.24,3.24,3.185,3.21,"1,759,368.00","5,635.47","1,755,597,890.00"
DNL,Dyno Nobel Limited,20/04/2026,3.23,3.23,3.19,3.20,"2,319,521.00","5,617.91","1,755,597,890.00"
DNL,Dyno Nobel Limited,17/04/2026,3.17,3.23,3.17,3.23,"4,242,275.00","5,670.58","1,755,597,890.00"
DNL,Dyno Nobel Limited,16/04/2026,3.20,3.21,3.16,3.19,"3,278,751.00","5,600.36","1,755,597,890.00"
DNL,Dyno Nobel Limited,15/04/2026,3.22,3.24,3.18,3.20,"4,984,473.00","5,617.91","1,755,597,890.00"
DNL,Dyno Nobel Limited,14/04/2026,3.23,3.27,3.18,3.20,"2,919,797.00","5,617.91","1,755,597,890.00"
DNL,Dyno Nobel Limited,13/04/2026,3.28,3.28,3.185,3.21,"4,614,478.00","5,656.26","1,762,075,926.00"
DNL,Dyno Nobel Limited,10/04/2026,3.27,3.31,3.27,3.28,"3,403,380.00","5,779.61","1,762,075,926.00"
DNL,Dyno Nobel Limited,09/04/2026,3.31,3.34,3.30,3.32,"2,105,358.00","5,850.09","1,762,075,926.00"
DNL,Dyno Nobel Limited,08/04/2026,3.35,3.40,3.32,3.34,"3,599,380.00","5,885.33","1,762,075,926.00"
DNL,Dyno Nobel Limited,07/04/2026,3.22,3.29,3.20,3.27,"5,092,487.00","5,761.99","1,762,075,926.00"
DNL,Dyno Nobel Limited,02/04/2026,3.17,3.26,3.17,3.20,"6,287,982.00","5,638.64","1,762,075,926.00"
DNL,Dyno Nobel Limited,01/04/2026,3.15,3.21,3.15,3.18,"4,416,598.00","5,603.40","1,762,075,926.00"
DNL,Dyno Nobel Limited,31/03/2026,3.09,3.155,3.07,3.12,"6,079,580.00","5,497.68","1,762,075,926.00"
DNL,Dyno Nobel Limited,30/03/2026,3.10,3.15,3.075,3.11,"11,154,969.00","5,480.06","1,762,075,926.00"
DNL,Dyno Nobel Limited,27/03/2026,3.10,3.15,3.09,3.12,"5,331,602.00","5,497.68","1,762,075,926.00"
DNL,Dyno Nobel Limited,26/03/2026,3.06,3.14,3.05,3.12,"11,312,061.00","5,497.68","1,762,075,926.00"
DNL,Dyno Nobel Limited,25/03/2026,2.98,3.05,2.96,3.05,"3,762,708.00","5,374.33","1,762,075,926.00"
DNL,Dyno Nobel Limited,24/03/2026,2.95,2.96,2.89,2.93,"8,467,067.00","5,162.88","1,762,075,926.00"
DNL,Dyno Nobel Limited,23/03/2026,2.93,2.93,2.83,2.91,"6,486,086.00","5,127.64","1,762,075,926.00"
DNL,Dyno Nobel Limited,20/03/2026,3.05,3.05,2.99,2.99,"9,314,362.00","5,299.92","1,772,547,373.00"
DNL,Dyno Nobel Limited,19/03/2026,3.14,3.15,3.055,3.07,"8,592,569.00","5,441.72","1,772,547,373.00"
