ASX Code,Company Name,Date,Open,High,Low,Close,Volume,Market Capitalisation($m),Shares on Issue
ELV,Elevra Lithium Limited,08/05/2026,13.41,13.79,13.34,13.51,"1,055,932.00","2,291.74","169,632,601.00"
ELV,Elevra Lithium Limited,07/05/2026,13.70,13.90,13.46,13.69,"919,657.00","2,322.27","169,632,601.00"
ELV,Elevra Lithium Limited,06/05/2026,12.57,13.64,12.50,13.52,"1,160,854.00","2,293.43","169,632,601.00"
ELV,Elevra Lithium Limited,05/05/2026,12.68,13.04,12.33,12.56,"1,157,910.00","2,130.59","169,632,601.00"
ELV,Elevra Lithium Limited,04/05/2026,13.55,13.75,12.74,12.99,"1,101,984.00","2,203.53","169,632,601.00"
ELV,Elevra Lithium Limited,01/05/2026,13.75,13.97,13.29,13.52,"1,313,414.00","2,293.43","169,632,601.00"
ELV,Elevra Lithium Limited,30/04/2026,13.32,13.92,13.03,13.58,"1,561,099.00","2,303.61","169,632,601.00"
ELV,Elevra Lithium Limited,29/04/2026,13.30,13.62,12.99,13.55,"1,939,627.00","2,298.52","169,632,601.00"
ELV,Elevra Lithium Limited,28/04/2026,13.01,13.89,13.01,13.69,"2,771,655.00","2,318.77","169,376,771.00"
ELV,Elevra Lithium Limited,27/04/2026,11.90,13.28,11.83,12.88,"2,822,670.00","2,181.57","169,376,771.00"
ELV,Elevra Lithium Limited,24/04/2026,10.85,12.33,10.75,12.04,"2,681,395.00","2,039.30","169,376,771.00"
ELV,Elevra Lithium Limited,23/04/2026,10.39,11.10,10.39,10.89,"1,838,989.00","1,844.51","169,376,771.00"
ELV,Elevra Lithium Limited,22/04/2026,10.20,10.715,10.08,10.45,"887,441.00","1,769.99","169,376,771.00"
ELV,Elevra Lithium Limited,21/04/2026,10.52,10.80,10.28,10.39,"1,176,808.00","1,759.82","169,376,771.00"
ELV,Elevra Lithium Limited,20/04/2026,10.20,10.82,10.02,10.55,"1,425,488.00","1,786.92","169,376,771.00"
ELV,Elevra Lithium Limited,17/04/2026,9.48,10.39,9.47,10.38,"2,983,036.00","1,758.13","169,376,771.00"
ELV,Elevra Lithium Limited,16/04/2026,9.04,9.23,8.89,9.22,"1,013,904.00","1,561.65","169,376,771.00"
ELV,Elevra Lithium Limited,15/04/2026,9.00,9.11,8.71,8.96,"1,010,963.00","1,517.62","169,376,771.00"
ELV,Elevra Lithium Limited,14/04/2026,8.80,9.09,8.80,8.89,"897,759.00","1,505.76","169,376,771.00"
ELV,Elevra Lithium Limited,13/04/2026,8.49,8.65,8.27,8.56,"1,087,146.00","1,449.87","169,376,771.00"
ELV,Elevra Lithium Limited,10/04/2026,9.03,9.04,8.64,8.73,"888,039.00","1,478.66","169,376,771.00"
ELV,Elevra Lithium Limited,09/04/2026,9.25,9.26,8.91,9.03,"1,205,064.00","1,529.47","169,376,771.00"
ELV,Elevra Lithium Limited,08/04/2026,9.11,9.38,8.96,9.29,"1,650,023.00","1,573.51","169,376,771.00"
