ASX Code,Company Name,Date,Open,High,Low,Close,Volume,Market Capitalisation($m),Shares on Issue
SGH,SGH Limited,08/05/2026,41.27,41.55,40.27,40.82,"436,088.00","16,613.67","406,998,167.00"
SGH,SGH Limited,07/05/2026,41.20,41.74,40.95,41.59,"554,442.00","16,927.05","406,998,167.00"
SGH,SGH Limited,06/05/2026,40.42,41.165,40.13,41.13,"458,334.00","16,739.83","406,998,167.00"
SGH,SGH Limited,05/05/2026,40.00,40.89,39.81,40.05,"722,641.00","16,300.28","406,998,167.00"
SGH,SGH Limited,04/05/2026,40.00,40.93,39.45,39.74,"494,572.00","16,174.11","406,998,167.00"
SGH,SGH Limited,01/05/2026,39.22,40.01,38.71,40.00,"571,739.00","16,279.93","406,998,167.00"
SGH,SGH Limited,30/04/2026,37.99,38.74,37.95,38.74,"812,361.00","15,767.11","406,998,167.00"
SGH,SGH Limited,29/04/2026,38.29,38.66,37.90,38.10,"535,817.00","15,506.63","406,998,167.00"
SGH,SGH Limited,28/04/2026,39.20,39.38,38.50,38.67,"552,978.00","15,738.62","406,998,167.00"
SGH,SGH Limited,27/04/2026,39.86,39.88,39.38,39.41,"199,640.00","16,039.80","406,998,167.00"
SGH,SGH Limited,24/04/2026,40.36,40.645,40.05,40.14,"519,178.00","16,336.91","406,998,167.00"
SGH,SGH Limited,23/04/2026,40.14,41.03,39.76,41.03,"343,382.00","16,699.13","406,998,167.00"
SGH,SGH Limited,22/04/2026,41.70,41.70,40.75,40.90,"258,535.00","16,646.23","406,998,167.00"
SGH,SGH Limited,21/04/2026,42.02,42.14,41.08,41.70,"404,867.00","16,971.82","406,998,167.00"
SGH,SGH Limited,20/04/2026,41.22,41.83,40.90,41.60,"401,587.00","16,931.12","406,998,167.00"
SGH,SGH Limited,17/04/2026,41.04,41.32,40.50,40.81,"613,078.00","16,609.60","406,998,167.00"
SGH,SGH Limited,16/04/2026,41.82,42.05,40.73,41.25,"807,045.00","16,788.67","406,998,167.00"
SGH,SGH Limited,15/04/2026,41.80,42.42,40.98,41.41,"381,469.00","16,853.79","406,998,167.00"
SGH,SGH Limited,14/04/2026,42.73,42.74,41.84,42.01,"519,113.00","17,097.99","406,998,167.00"
SGH,SGH Limited,13/04/2026,42.20,42.34,41.62,42.00,"323,019.00","17,093.92","406,998,167.00"
SGH,SGH Limited,10/04/2026,42.80,42.85,42.00,42.37,"810,587.00","17,244.51","406,998,167.00"
SGH,SGH Limited,09/04/2026,42.92,43.35,42.68,42.68,"1,243,290.00","17,370.68","406,998,167.00"
SGH,SGH Limited,08/04/2026,42.99,43.61,42.63,43.42,"465,826.00","17,671.86","406,998,167.00"
SGH,SGH Limited,07/04/2026,41.52,42.17,41.085,41.43,"371,487.00","16,861.93","406,998,167.00"
SGH,SGH Limited,02/04/2026,40.98,42.00,40.52,40.67,"401,274.00","16,552.62","406,998,167.00"
SGH,SGH Limited,01/04/2026,41.43,41.90,40.67,41.06,"655,921.00","16,711.34","406,998,167.00"
SGH,SGH Limited,31/03/2026,41.42,41.42,39.85,40.41,"703,045.00","16,446.80","406,998,167.00"
SGH,SGH Limited,30/03/2026,41.05,41.50,39.82,40.68,"436,425.00","16,556.69","406,998,167.00"
SGH,SGH Limited,27/03/2026,41.31,41.77,40.79,41.77,"475,497.00","17,000.31","406,998,167.00"
SGH,SGH Limited,26/03/2026,42.52,43.20,41.46,41.89,"581,166.00","17,049.15","406,998,167.00"
SGH,SGH Limited,25/03/2026,40.30,41.67,40.15,41.67,"535,108.00","16,959.61","406,998,167.00"
SGH,SGH Limited,24/03/2026,40.98,40.98,39.36,39.60,"301,286.00","16,117.13","406,998,167.00"
SGH,SGH Limited,23/03/2026,38.32,39.98,37.26,39.59,"366,199.00","16,113.06","406,998,167.00"
SGH,SGH Limited,20/03/2026,40.61,40.90,39.51,39.51,"824,680.00","16,080.50","406,998,167.00"
SGH,SGH Limited,19/03/2026,40.55,41.05,40.20,40.50,"619,074.00","16,483.43","406,998,167.00"
SGH,SGH Limited,18/03/2026,41.22,41.50,40.89,41.29,"460,632.00","16,804.95","406,998,167.00"
SGH,SGH Limited,17/03/2026,41.20,41.76,40.78,41.20,"376,402.00","16,768.32","406,998,167.00"
SGH,SGH Limited,16/03/2026,41.40,41.72,41.06,41.48,"377,627.00","16,882.28","406,998,167.00"
SGH,SGH Limited,13/03/2026,42.60,42.60,41.65,42.01,"345,294.00","17,097.99","406,998,167.00"
SGH,SGH Limited,12/03/2026,41.38,42.53,41.30,42.22,"1,349,729.00","17,183.46","406,998,167.00"
SGH,SGH Limited,11/03/2026,42.00,42.095,41.28,41.95,"395,388.00","17,073.57","406,998,167.00"
SGH,SGH Limited,10/03/2026,42.28,42.69,41.81,42.04,"670,975.00","17,110.20","406,998,167.00"
SGH,SGH Limited,09/03/2026,43.30,43.52,41.33,41.58,"557,472.00","16,922.98","406,998,167.00"
SGH,SGH Limited,06/03/2026,44.26,44.87,44.20,44.56,"300,797.00","18,135.84","406,998,167.00"
SGH,SGH Limited,05/03/2026,45.21,45.47,44.60,44.63,"531,394.00","18,164.33","406,998,167.00"
SGH,SGH Limited,04/03/2026,45.98,46.42,44.95,45.06,"520,124.00","18,339.34","406,998,167.00"
SGH,SGH Limited,03/03/2026,46.37,46.42,45.77,46.40,"317,623.00","18,884.71","406,998,167.00"
SGH,SGH Limited,02/03/2026,46.44,46.94,46.00,46.44,"242,299.00","18,900.99","406,998,167.00"
SGH,SGH Limited,27/02/2026,46.49,46.90,45.89,46.70,"594,413.00","19,006.81","406,998,167.00"
SGH,SGH Limited,26/02/2026,47.20,47.90,46.15,46.48,"411,082.00","18,917.27","406,998,167.00"
SGH,SGH Limited,25/02/2026,47.80,47.98,47.18,47.79,"408,978.00","19,450.44","406,998,167.00"
SGH,SGH Limited,24/02/2026,47.73,48.455,47.21,48.00,"409,484.00","19,535.91","406,998,167.00"
SGH,SGH Limited,23/02/2026,47.28,47.82,46.87,47.47,"227,716.00","19,320.20","406,998,167.00"
SGH,SGH Limited,20/02/2026,47.57,47.84,46.75,47.70,"328,300.00","19,413.81","406,998,167.00"
SGH,SGH Limited,19/02/2026,48.68,49.10,47.79,47.81,"536,873.00","19,458.58","406,998,167.00"
SGH,SGH Limited,18/02/2026,49.00,49.04,46.70,47.52,"509,547.00","19,340.55","406,998,167.00"
SGH,SGH Limited,17/02/2026,47.15,47.46,46.42,46.82,"278,269.00","19,055.65","406,998,167.00"
SGH,SGH Limited,16/02/2026,47.90,47.985,47.06,47.23,"312,853.00","19,222.52","406,998,167.00"
SGH,SGH Limited,13/02/2026,48.92,49.77,47.89,47.90,"651,285.00","19,495.21","406,998,167.00"
SGH,SGH Limited,12/02/2026,50.38,51.00,48.93,49.23,"709,773.00","20,036.52","406,998,167.00"
SGH,SGH Limited,11/02/2026,48.92,51.99,48.20,50.91,"888,082.00","20,720.28","406,998,167.00"
SGH,SGH Limited,10/02/2026,48.27,49.27,47.63,49.15,"723,137.00","20,003.96","406,998,167.00"
SGH,SGH Limited,09/02/2026,46.64,47.77,45.76,47.77,"405,107.00","19,442.30","406,998,167.00"
SGH,SGH Limited,06/02/2026,46.27,46.32,45.37,46.05,"425,785.00","18,742.27","406,998,167.00"
SGH,SGH Limited,05/02/2026,46.83,47.45,46.27,47.37,"277,452.00","19,279.50","406,998,167.00"
SGH,SGH Limited,04/02/2026,46.03,46.42,45.51,46.29,"370,559.00","18,839.95","406,998,167.00"
SGH,SGH Limited,03/02/2026,46.38,47.28,45.96,46.61,"395,651.00","18,970.18","406,998,167.00"
SGH,SGH Limited,02/02/2026,46.30,46.70,45.74,45.78,"417,352.00","18,632.38","406,998,167.00"
SGH,SGH Limited,30/01/2026,48.00,48.23,45.72,46.42,"816,522.00","18,892.85","406,998,167.00"
SGH,SGH Limited,29/01/2026,46.77,47.92,46.77,47.69,"545,963.00","19,409.74","406,998,167.00"
SGH,SGH Limited,28/01/2026,47.57,47.57,46.61,47.01,"581,497.00","19,132.98","406,998,167.00"
SGH,SGH Limited,27/01/2026,47.33,47.59,46.92,47.39,"207,301.00","19,287.64","406,998,167.00"
SGH,SGH Limited,23/01/2026,46.65,47.13,46.59,46.79,"229,287.00","19,043.44","406,998,167.00"
SGH,SGH Limited,22/01/2026,46.47,47.69,46.21,47.13,"304,328.00","19,181.82","406,998,167.00"
SGH,SGH Limited,21/01/2026,47.07,47.07,45.90,45.96,"201,080.00","18,705.64","406,998,167.00"
SGH,SGH Limited,20/01/2026,46.61,47.39,46.61,47.24,"193,421.00","19,226.59","406,998,167.00"
SGH,SGH Limited,19/01/2026,47.00,47.05,46.22,46.91,"184,341.00","19,092.28","406,998,167.00"
SGH,SGH Limited,16/01/2026,46.90,47.49,46.65,46.87,"291,747.00","19,076.00","406,998,167.00"
SGH,SGH Limited,15/01/2026,47.70,47.70,46.10,47.39,"436,534.00","19,287.64","406,998,167.00"
SGH,SGH Limited,14/01/2026,47.65,48.07,47.20,47.63,"257,883.00","19,385.32","406,998,167.00"
SGH,SGH Limited,13/01/2026,47.87,48.21,47.56,47.92,"294,018.00","19,503.35","406,998,167.00"
SGH,SGH Limited,12/01/2026,47.88,48.19,47.59,47.84,"334,447.00","19,470.79","406,998,167.00"
SGH,SGH Limited,09/01/2026,48.35,48.58,47.45,47.53,"205,354.00","19,344.62","406,998,167.00"
SGH,SGH Limited,08/01/2026,48.50,48.78,47.25,48.03,"355,639.00","19,548.12","406,998,167.00"
SGH,SGH Limited,07/01/2026,48.60,49.70,48.33,48.97,"301,265.00","19,930.70","406,998,167.00"
SGH,SGH Limited,06/01/2026,46.81,49.49,46.63,48.60,"997,618.00","19,780.11","406,998,167.00"
SGH,SGH Limited,05/01/2026,46.38,46.87,46.37,46.49,"233,783.00","18,921.34","406,998,167.00"
SGH,SGH Limited,02/01/2026,46.22,46.88,46.12,46.83,"179,065.00","19,059.72","406,998,167.00"
SGH,SGH Limited,31/12/2025,46.34,46.61,46.24,46.45,"199,218.00","18,905.06","406,998,167.00"
SGH,SGH Limited,30/12/2025,46.88,46.95,46.42,46.80,"256,591.00","19,047.51","406,998,167.00"
SGH,SGH Limited,29/12/2025,47.00,47.00,46.31,46.49,"188,614.00","18,921.34","406,998,167.00"
SGH,SGH Limited,24/12/2025,46.92,47.12,46.47,47.12,"93,308.00","19,177.75","406,998,167.00"
SGH,SGH Limited,23/12/2025,46.90,47.28,46.49,47.15,"165,897.00","19,189.96","406,998,167.00"
SGH,SGH Limited,22/12/2025,46.70,47.02,46.59,46.92,"176,713.00","19,096.35","406,998,167.00"
SGH,SGH Limited,19/12/2025,46.49,46.66,45.95,46.50,"495,127.00","18,925.41","406,998,167.00"
SGH,SGH Limited,18/12/2025,45.99,46.30,45.70,46.08,"521,812.00","18,754.48","406,998,167.00"
SGH,SGH Limited,17/12/2025,46.00,46.38,45.43,46.27,"461,396.00","18,831.81","406,998,167.00"
SGH,SGH Limited,16/12/2025,46.34,46.49,45.60,46.22,"322,692.00","18,811.46","406,998,167.00"
SGH,SGH Limited,15/12/2025,45.43,46.26,45.27,46.10,"224,290.00","18,762.62","406,998,167.00"
SGH,SGH Limited,12/12/2025,45.06,46.10,44.93,45.78,"319,719.00","18,632.38","406,998,167.00"
SGH,SGH Limited,11/12/2025,44.98,45.48,44.53,44.53,"317,067.00","18,123.63","406,998,167.00"
SGH,SGH Limited,10/12/2025,45.74,45.77,44.65,44.88,"358,176.00","18,266.08","406,998,167.00"
SGH,SGH Limited,09/12/2025,46.30,46.30,45.26,45.31,"364,798.00","18,441.09","406,998,167.00"
SGH,SGH Limited,08/12/2025,45.91,46.57,45.76,46.22,"214,064.00","18,811.46","406,998,167.00"
SGH,SGH Limited,05/12/2025,46.56,46.56,45.80,45.96,"195,376.00","18,705.64","406,998,167.00"
SGH,SGH Limited,04/12/2025,45.88,46.24,45.36,46.24,"224,980.00","18,819.60","406,998,167.00"
SGH,SGH Limited,03/12/2025,46.64,46.64,45.66,45.89,"273,562.00","18,677.15","406,998,167.00"
SGH,SGH Limited,02/12/2025,46.42,46.50,45.76,45.98,"453,593.00","18,713.78","406,998,167.00"
SGH,SGH Limited,01/12/2025,46.71,47.19,46.26,46.51,"301,365.00","18,929.48","406,998,167.00"
SGH,SGH Limited,28/11/2025,47.31,47.76,46.71,47.29,"347,117.00","19,246.94","406,998,167.00"
SGH,SGH Limited,27/11/2025,46.40,47.46,46.27,47.18,"223,613.00","19,202.17","406,998,167.00"
SGH,SGH Limited,26/11/2025,47.00,48.71,46.25,46.26,"520,828.00","18,827.74","406,998,167.00"
SGH,SGH Limited,25/11/2025,45.69,46.29,45.16,46.17,"542,031.00","18,791.11","406,998,167.00"
SGH,SGH Limited,24/11/2025,44.71,45.70,44.16,45.70,"1,191,963.00","18,599.82","406,998,167.00"
SGH,SGH Limited,21/11/2025,43.33,44.11,43.33,43.97,"373,847.00","17,895.71","406,998,167.00"
SGH,SGH Limited,20/11/2025,43.47,44.53,43.01,44.30,"385,805.00","18,030.02","406,998,167.00"
SGH,SGH Limited,19/11/2025,43.25,43.67,43.00,43.24,"293,948.00","17,598.60","406,998,167.00"
SGH,SGH Limited,18/11/2025,43.68,43.94,42.60,43.16,"492,768.00","17,566.04","406,998,167.00"
SGH,SGH Limited,17/11/2025,43.91,44.35,43.50,44.27,"268,917.00","18,017.81","406,998,167.00"
SGH,SGH Limited,14/11/2025,44.20,44.75,43.43,44.03,"284,405.00","17,920.13","406,998,167.00"
SGH,SGH Limited,13/11/2025,45.86,45.86,44.09,44.50,"495,682.00","18,111.42","406,998,167.00"
SGH,SGH Limited,12/11/2025,45.20,45.92,44.80,45.80,"470,750.00","18,640.52","406,998,167.00"
SGH,SGH Limited,11/11/2025,46.08,46.12,44.00,45.24,"806,126.00","18,412.60","406,998,167.00"
SGH,SGH Limited,10/11/2025,46.82,46.96,45.81,45.84,"606,998.00","18,656.80","406,998,167.00"
SGH,SGH Limited,07/11/2025,47.20,47.23,46.44,46.58,"556,027.00","18,957.97","406,998,167.00"
SGH,SGH Limited,06/11/2025,47.20,47.63,46.605,47.33,"320,582.00","19,263.22","406,998,167.00"
SGH,SGH Limited,05/11/2025,47.30,48.08,46.52,46.81,"296,117.00","19,051.58","406,998,167.00"
SGH,SGH Limited,04/11/2025,47.93,48.22,47.16,47.34,"243,882.00","19,267.29","406,998,167.00"
SGH,SGH Limited,03/11/2025,48.37,48.87,47.96,48.05,"462,201.00","19,556.26","406,998,167.00"
SGH,SGH Limited,31/10/2025,49.72,49.88,48.44,48.50,"911,094.00","19,739.41","406,998,167.00"
SGH,SGH Limited,30/10/2025,48.88,50.18,48.88,49.71,"363,554.00","20,231.88","406,998,167.00"
SGH,SGH Limited,29/10/2025,51.50,52.00,49.50,49.53,"752,136.00","20,158.62","406,998,167.00"
SGH,SGH Limited,28/10/2025,50.14,51.52,49.88,51.52,"768,320.00","20,968.55","406,998,167.00"
SGH,SGH Limited,27/10/2025,49.52,50.11,49.46,50.08,"277,033.00","20,382.47","406,998,167.00"
SGH,SGH Limited,24/10/2025,48.83,49.74,48.27,49.29,"416,327.00","20,060.94","406,998,167.00"
SGH,SGH Limited,23/10/2025,48.50,49.38,48.11,48.90,"300,257.00","19,902.21","406,998,167.00"
SGH,SGH Limited,22/10/2025,48.48,48.75,48.11,48.62,"250,771.00","19,788.25","406,998,167.00"
SGH,SGH Limited,21/10/2025,49.47,49.75,48.65,48.77,"440,399.00","19,849.30","406,998,167.00"
SGH,SGH Limited,20/10/2025,48.18,48.77,48.08,48.75,"202,018.00","19,841.16","406,998,167.00"
SGH,SGH Limited,17/10/2025,48.41,48.81,48.00,48.17,"353,511.00","19,605.10","406,998,167.00"
SGH,SGH Limited,16/10/2025,48.05,48.81,47.245,48.81,"533,241.00","19,865.58","406,998,167.00"
SGH,SGH Limited,15/10/2025,48.00,48.89,47.72,48.02,"586,579.00","19,544.05","406,998,167.00"
SGH,SGH Limited,14/10/2025,48.03,48.16,46.85,47.63,"314,297.00","19,385.32","406,998,167.00"
SGH,SGH Limited,13/10/2025,49.07,49.30,47.72,47.80,"333,707.00","19,454.51","406,998,167.00"
SGH,SGH Limited,10/10/2025,50.00,50.53,49.29,49.33,"1,164,316.00","20,077.22","406,998,167.00"
SGH,SGH Limited,09/10/2025,50.42,50.60,49.68,50.04,"345,807.00","20,366.19","406,998,167.00"
SGH,SGH Limited,08/10/2025,50.46,50.48,49.92,50.02,"328,699.00","20,358.05","406,998,167.00"
SGH,SGH Limited,07/10/2025,50.77,51.31,50.42,50.42,"274,122.00","20,520.85","406,998,167.00"
SGH,SGH Limited,06/10/2025,50.99,51.00,50.39,50.94,"194,060.00","20,732.49","406,998,167.00"
SGH,SGH Limited,03/10/2025,50.07,51.09,49.83,50.53,"353,168.00","20,565.62","406,998,167.00"
SGH,SGH Limited,02/10/2025,50.24,50.44,49.70,50.34,"398,821.00","20,488.29","406,998,167.00"
SGH,SGH Limited,01/10/2025,50.13,50.14,49.205,49.65,"324,174.00","20,207.46","406,998,167.00"
