ASX Code,Company Name,Date,Open,High,Low,Close,Volume,Market Capitalisation($m),Shares on Issue
XYZ,"Block, Inc.",08/05/2026,104.15,104.87,103.05,103.06,"234,288.00","3,797.07","36,843,293.00"
XYZ,"Block, Inc.",07/05/2026,98.68,99.69,97.24,98.34,"203,749.00","3,623.17","36,843,293.00"
XYZ,"Block, Inc.",06/05/2026,99.67,99.79,98.04,98.42,"317,904.00","3,626.12","36,843,293.00"
XYZ,"Block, Inc.",05/05/2026,99.70,100.95,99.34,100.53,"156,576.00","3,690.44","36,709,800.00"
XYZ,"Block, Inc.",04/05/2026,99.01,100.10,99.00,99.55,"143,158.00","3,654.46","36,709,800.00"
XYZ,"Block, Inc.",01/05/2026,99.00,99.00,97.49,97.97,"48,080.00","3,596.46","36,709,800.00"
XYZ,"Block, Inc.",30/04/2026,97.92,98.60,97.155,97.38,"105,087.00","3,574.80","36,709,800.00"
XYZ,"Block, Inc.",29/04/2026,97.70,98.01,96.60,97.95,"47,829.00","3,595.72","36,709,800.00"
XYZ,"Block, Inc.",28/04/2026,99.58,99.68,98.72,99.45,"507,636.00","3,650.79","36,709,800.00"
XYZ,"Block, Inc.",27/04/2026,99.20,100.60,99.20,99.63,"30,391.00","3,657.40","36,709,800.00"
XYZ,"Block, Inc.",24/04/2026,98.08,98.92,98.02,98.73,"66,968.00","3,624.36","36,709,800.00"
XYZ,"Block, Inc.",23/04/2026,100.20,101.05,99.99,100.69,"65,912.00","3,696.31","36,709,800.00"
XYZ,"Block, Inc.",22/04/2026,100.88,101.50,100.13,100.91,"196,006.00","3,704.39","36,709,800.00"
XYZ,"Block, Inc.",21/04/2026,102.33,102.79,101.74,102.41,"237,356.00","3,759.45","36,709,800.00"
XYZ,"Block, Inc.",20/04/2026,98.60,99.20,97.55,98.86,"129,350.00","3,629.13","36,709,800.00"
XYZ,"Block, Inc.",17/04/2026,95.79,96.87,95.71,96.67,"98,383.00","3,548.74","36,709,800.00"
